Nama Juice Buah,Rating,Total Reviews,Alamat,Latitude,Longitude,Place ID,Foto Sampul
Carani Coffee & Eatery,4.7,194,"Jl. Wijaya Kusuma No.258-257, Dero, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7527783,110.4090282,ChIJMZr3ZAFZei4R-txuXxzOiqA,https://places.googleapis.com/v1/places/ChIJMZr3ZAFZei4R-txuXxzOiqA/photos/AWCwydhVQn71gv8-OyFYR1SKWIz_uoNVS2s0jKZ46ToM17q21GB4r1lhX_5v5-n9ZgGZQI88ztIsM7I4Mzg65pQWXoUlKvE0N_Aa646Fs0QILDVa1tnmOoyARdophgyEzQ5ZvDlMAzLLVNuoTDSQVbuVKcyESVSR3ehyYHVBEmtczz3XwyKlC4-8bxKsR9SOsz9LLoZiOaYosTRIvXA4PFW5jmlddJJtEInfrLr87_V61PGJPMQ4j_ELKeIKWounbg3o84tKE2JG9GJKTKS8d-UUZKBeKvAOAOv6b_RlgrvotDnkk_Nw8TRnXuTz1a3W3ZGEIX1cvvYmv8QubgcPW-qT9fvFDIbAEWUyX2_AiJxJZ3xyyhd23hvefS4feZU-Xd6QR2sbWa0htdhEkTTyOf27Sfa57jUanxcfbsrs3ujtR8-nWesSAJTXGiB37GDzpnEM/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyCEXbCFDJpTIkfbuoCh4cLYEyrdocIOFQk
Kopi Tiam Kapuas Hulu Condongcatur,4.2,1105,"Jl. Wira Jaya No.310a, Gejayan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.7549862,110.3955713,ChIJfxQYTLZZei4RNieO0-m0uRk,https://places.googleapis.com/v1/places/ChIJfxQYTLZZei4RNieO0-m0uRk/photos/AWCwydil---V8Q-y8abgktvdxr25hY0a0cDc3vpYQWLkrwezJ9pHySB4ZqeiL5jO6f484l3kvR8_4unCBtA9HFTImKmgsaOgEbKRsrkPmHQWMehdHoELAg9BdQ7Z3VVJn-5IzIBiQc6nks6NKqpAZ5DrhWShJqnCQVoT0AuWVK9Mm46qzKx8uKdWS_U4FsLxmsfJXSYEHKi0X876gdorsV6n0culR-feoLjYXzMndyxhNzmkbimN6byl2An9SswvnfHrZkcijRhZCPF6TalFO_mk9_5pJ5FkgsWGye_N7kN6689lTpg-PztEQk3Bu7YMz3wgTu7_oiS4Ka6ATUvGdMDZWgeLt2QxfUz0GraN_oN5iUVrj9bGHOsYWg4s9L-GRyvN1aNoifSqqyjki2xvDVZyFcUJsujPnlaWmdxqf_kRr4l4gg/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyCEXbCFDJpTIkfbuoCh4cLYEyrdocIOFQk
Kopi Aksara,4.7,209,"Jl. Jemb. Merah IV No.250, Soropadan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283, Indonesia",-7.7659637,110.39503599999999,ChIJAwIKBuVZei4RMa1tXQIgdps,https://places.googleapis.com/v1/places/ChIJAwIKBuVZei4RMa1tXQIgdps/photos/AWCwydjyjh0Tz-m0ONZ6uujWPpDbvnrQ-WT3aac6hO5gTIGDX0NJ5BzslUlS1kEU8NGShLhouEs_imnQ0pNkQp4yPLc9bWzWV0Acq50iVaPqgE4RBdBfwsG1J7ty7kx7NYAdhEb1fY30XswXToO43BLz6XQos4btwP9tRk4N7jKS-CAqfGSZjBUuWhiElHcjkFxoKK9KpgxIFoU4J2FKt1a6J6OvANRu1vNxEiAYUOfJSoFKs1fp1nTKxgmCPCBqzXqbN2mAoymtoVIiBLJBY0TVS_IGwx0UsjKhCNYjM4uYKkHjBPSHFfoKk29JHXsdalJc1UrtlBD0P7EK_wVj0LIkiKDvKykGuDzaPIYFoM6JyALXbHps-ncU6siZwpLss3vYeTZOZWNOslusdjgvftSJqUVzwrrEyqCf5aoCYcH8r7IFrA/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyCEXbCFDJpTIkfbuoCh4cLYEyrdocIOFQk
Kaktus Coffee Place,4.7,3980,"Jl. Gondang Raya No.4-5, RT.08/RW.63, Kentungan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283, Indonesia",-7.7563830000000005,110.3932267,ChIJ8zEd4CRZei4Rf980HBCUdzg,https://places.googleapis.com/v1/places/ChIJ8zEd4CRZei4Rf980HBCUdzg/photos/AWCwydgKrYI09zk8MoJQMNt7PNG1wPd-iziY3uN86h-dyXxmPBGWqEV_vpifdda163959oj5AZML1v4uX6bz1ZCXDslCo_H1XviAaS9JpNLYSrg4eZNeDuO2NuFWaltbnSxSTXrHY89cruXI-6FTRSJ4TO71XwUzjnnM1PNotmtcsivRt-rG8qYelwoAMJPai1V3k8fLt8rGVpgDYGMnyL3ffJYtZoENjo7rHm8mItVEo9Zcf9r8AHoJzpAg_7_YZTIlHIPrMvGehoIY6eW_VD6X3Q-uF19XDcb0jRkz_DqiSa9Uu7KI4yzrJ7nZdd5TRWM1Je33uDq6wvw_ohp4L0aO9do3PfwgXZNq9DLv6kcfJzDlGIHWAKqNGgZWlpR8gjmYvcLNHbP_-RLUwk9MoD_HZhflVAtyHdip_0x316TtQ1AMLJMU/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyCEXbCFDJpTIkfbuoCh4cLYEyrdocIOFQk
King Coffee,5,12,"6CR2+M64 sebrang Polda, Jl. Ring Road Utara, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7583614,110.4005763,ChIJCYxWLABZei4R2TOe-voFBGE,https://places.googleapis.com/v1/places/ChIJCYxWLABZei4R2TOe-voFBGE/photos/AWCwydizoA3ozmfeBSOal772caKPPD9LsZwuVp5Fu7QF487DQbPZTDGjRdoLBMX3k7_x8TVGkFOiPXQRhjwA9lC1EBfWGaFsYgNsmY_e9LbQchZuhXv65MlahwKS6UN1rpZEzuCgCwYa_ibem0-UZMFJH6_4n90TGGDJCJobTRCqN5yDFTRyR_H3tt7JL0wjq8fYJp-6ossadrOv9Usk1qh3vynL_WT4pMvvzzBBaua7xxPIcEo-m73dfTZe05N86waRFFtNJSEY_QWiobhcdwx1jt-vxWTTJMo3kxAHkz_meCv_0ioku-7KxXx8PJ8k7bkvW-UUro8nU5rdfQlLGNcKMf0FYBTV8gvk_Riv78Ad441RVC7lQS9rfrZtZk7bVF6A7Ou_fkeug58meAGrXotkLqK-2n2E2js7n4oeNDY_JmSUvyZuVaZWGYkalRJWAvgo/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyCEXbCFDJpTIkfbuoCh4cLYEyrdocIOFQk
ARAH Coffee Pandawa,4.6,1502,"Jl. Kaliurang No.27, Karang Wuni, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284, Indonesia",-7.7605444,110.3809541,ChIJ66uGwnZZei4ReM6-0CpUvB0,https://places.googleapis.com/v1/places/ChIJ66uGwnZZei4ReM6-0CpUvB0/photos/AWCwydi8M6gv_IejT-fPJeBznretmOSYToOe4WKvKgEd14xV6i5hz5MlHn7H0IBDAnX0tqv-Eks3l1nClZe7SQDDZBw4cFGC_wo6iiX1yVfS_zC6sKw6cBA32NnTRrBHjGk-KjGFmUibYHoUvaa6Bq-gTDElkaVKZ0KEor3CUFjj3qql1PWzksWslNs-zhVa5GJ5WPHq7iQMoK7YZZ-ry6PiN2nSXLu9Qb6b2_WLE0oD6yeTR7pCaBSfR8rFtfwv5A5_XJwYthumt2pfuHOMLKqWR-BBysZRfDA0JGVrp3O3zfOETd9YV4riCFZztKBgkVlmHkdfNs8UwsZtFuCcDTNnJuuRB9T8FXJMLtyjp1W5G5gQ7yyYYcYANmthtXV0YHYRbi4YzY6liaFdJlKu0dD9_8m71-9y-516MQrJP3Jhd2W3wMhW/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyCEXbCFDJpTIkfbuoCh4cLYEyrdocIOFQk
Kalani Coffee,5,57,"Jl. Affandi No.32, Soropadan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 56272, Indonesia",-7.7610262,110.394481,ChIJ0xv4XABZei4RUeAqT4fTztY,https://places.googleapis.com/v1/places/ChIJ0xv4XABZei4RUeAqT4fTztY/photos/AWCwydh3gYnWQYzafqMZjhxF5K5L-_Lh7oRVK2fvlZMlAnHI6PaG3phG157hErVgkxS-rGhjHitPFW1ssEvFx1nt_Z0Ut_HEwATRwcuyvMihEyiv0kBVzYIxtHwcAQ2kFaaCTAYJ4OmaPqfDVtfAQiZ3wj7UxoNzgH671Zufoe1_1vnc6tvcdY9tUQ_aBGQ5VxU9LNEBEMpbN-3wnZ5tCJ0mc0ijQOGzbET4m2eM8IKf6BGZkLkQDXrqqAyG0yK6V-esA_z00iuVyqISX57T1JoJUPnZU-4UDidfl_1WBlILHPv6oaR74-Ez4QtgvhABxWWeQq63p4wKVRIDI77kQYZX8Re8abINWpN_d07nJjyQxN2CYPaNz_S3SvSTt9GE_SWM1FJZorLYk7W9HOcIofB3BVqKskNAnCpr-LHPtVql1RY_cXtSjOIv7I4wkF5eLg/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyCEXbCFDJpTIkfbuoCh4cLYEyrdocIOFQk
The Brewing Room,4.5,551,"Jl. Pandean Sari III No.10, Candok Condongcatur, Kec. Depok, Kabupaten Sleman Daerah Istimewa, Candok, Condongcatur, Kec. Depok, Yogyakarta, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.758202099999999,110.39188809999999,ChIJQ0q71YVZei4RGiMGtdpeYPY,https://places.googleapis.com/v1/places/ChIJQ0q71YVZei4RGiMGtdpeYPY/photos/AWCwydgSK4adgVuLHhgxbYy16Mch2OL3Ncg2P2J1seW1h613TrmCJNu8hqmrpqpR-XI9uUFgtL_iZkqXNYHPK_M__jyJAqiTOGak2JS9F3Gy986AvTwtBfIfNaOnoLnc6OMybzXGepw7QePtjZcuXYUw0ju6ESK_7J2J7kjJetyLjxas-_54qyLRMK0RD7FnBw7GEARbB8azSIxNR8yInLrjye-Yv_Y_NcJ-_0zYDJnS_qeQxGChHD1QXlZ5JTSDfIaHcJADBMitJhYicKB7sMcgtzrLs3H3_fRNQuf8yWRx5ZZYZd5sDgEtY7va1LRb_Xbiq7s6W-Y3fBUaEgJCHIkXaeTwWaHs7BkshB5oj4VeSddkjikR8Vgmj1_zHIaJ9DW67VOBQDZYWo-K_N4aMp8f1afgofABsl93mR063Gw13qt5BRPq5mMeGp-q7uuU7vqa/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyCEXbCFDJpTIkfbuoCh4cLYEyrdocIOFQk
Kopi Nuri Concat,4.3,1050,"Dekat, 6CX2+W6P Rujak Es Krim P. Tono, Jl. Anggajaya 2, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7501533,110.4005825,ChIJz8e4qtBZei4RsTSI4st29JA,https://places.googleapis.com/v1/places/ChIJz8e4qtBZei4RsTSI4st29JA/photos/AWCwydirgYKGTOn2PDBfBf-pi2Oats3Yhg28qplltNBfFMhnRKpbPuQkH3D6gSL1HLMCoeCuMRkmGIu2cfOlW2h7yECgLmTQL6i4vTVQfpYj_2fJ_WcPl9gJheA_aCEkxNc1jkQUocnKdIFPXRlQ59akA42svg-n0paq-NCbyf0eCN8-uMZ1EViMSWspZEohicYQdJEVJaBg9CqR9P2dFYw6LrddsTmbTi29HK-6DRXczRQmaGwS83bHTZ_ENPBDUg0HNfco_UvM1ymlIDvgHzQQCnw7Q6s9vFnqgZc14tzd5We5Kz7BykgBhwqlE0T9tPfV0MXb9LizrZqOVHR0x_a57Y_3Es5fkkuF_FwIuTTSH5bsF8bEvpNXkPAg9vlsdtTX_OrGif0d7aU_ta2Z5a-gepcDSsIOvcsEESbFdNLEhJkw1V0Z/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyCEXbCFDJpTIkfbuoCh4cLYEyrdocIOFQk
Alayya cafe & resto,4.7,433,"Jl. Garuda No.200, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7543849,110.39892069999999,ChIJA6quzklZei4ROsv0uKKLflk,https://places.googleapis.com/v1/places/ChIJA6quzklZei4ROsv0uKKLflk/photos/AWCwydg2qHi-tzt2KMBZL2xj5JXXHVUTwZ6wANzsWjh8RAM1fSZo_4JzmvQb2pCwrkZ07Xe0uunuTwOeK3THxVGuHilyaX0DaNc6-gADRiVr6KLlLxD_-ZVC4v-nfoKNIwgaqMNv8O4ZIM00wsOJuAUKHwShw9SEj_IzOolOrRDK9DQTt2HV2edNlI-a3GJGasybh_fNKjfX3rgps2SQwxWbd7KrDnbUn60wTfB0g3pOBI1NBfxE-ybcaR_UVFAD9XZzWAleJdLLGKNitEnpuZIiMDCY16bp4Sd7mNhU5kNDgudzHkWQKcTS4ofoMyqvOFJKcjUtXMTRUFjvELB9XGVrVXL7y0ozoY4OWGkAUtRYYaFJM8WuM-42Bc5OnRayZyzbtmb1ZrEYbQ0ul7K-xS1s5e70YvoAQU9usm-egLtoqRBsXg/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyCEXbCFDJpTIkfbuoCh4cLYEyrdocIOFQk
